"Rank"	"LastName"	"FirstName"	"Team"	"Pos"	"GP"	"TOI"	"GF"	"GA"	"GF60"	"GA60"	"GF."	"SF"	"SA"	"Sh."	"Sv."	"PDO"	"CF"	"CA"	"CF60"	"CA60"	"CF."	"CSh."	"CSv."	"CPDO"	"G"	"A"	"FirstA"	"Pts"	"Pri..Pts"	"Shots"	"iCorsi"	"iSh."	"iCSh."	"Goals.per60"	"Assists.per60"	"FirstA.per60"	"Points.per60"	"Pri.Pts..per60"	"Shots.per60"	"iCorsi.per60"	"IGP"	"IAP"	"IPP"	"IPPP"	"X"	"FirstLast"	"TimePerGame"
"344"	"344"	"SCHLEMKO"	" DAVID"	"New Jersey"	"D"	67	1248.18	47	64	2.259	3.076	42.34	556	527	8.4532	87.8558	96.309	998	956	47.974	45.955	51.07	4.7094	93.3054	98.0148	7	12	9	19	16	105	183	6.66666666667	3.82513661202	0.3365	0.5768	0.4326	0.9133	0.7691	5.0473	8.7968	14.89	25.53	40.43	34.04	NA	" DAVID SCHLEMKO"	18.629552238806
"345"	"345"	"WIDEMAN"	" DENNIS"	"Calgary"	"D"	51	1051.13	43	51	2.454	2.911	45.74	502	520	8.5657	90.1923	98.758	968	1007	55.255	57.481	49.01	4.4421	94.9355	99.3776	2	17	8	19	10	75	186	2.66666666667	1.0752688172	0.1142	0.9704	0.4566	1.0845	0.5708	4.2811	10.6171	4.65	39.53	44.19	23.26	NA	" DENNIS WIDEMAN"	20.6103921568627
"346"	"346"	"RUSSELL"	" KRIS"	"Dallas"	"D"	62	1430.37	65	73	2.727	3.062	47.1	640	720	10.1562	89.8611	100.0173	1238	1480	51.931	62.082	45.55	5.2504	95.0676	100.318	4	15	7	19	11	70	189	5.71428571429	2.1164021164	0.1678	0.6292	0.2936	0.797	0.4614	2.9363	7.928	6.15	23.08	29.23	16.92	NA	" KRIS RUSSELL"	23.0704838709677
"347"	"347"	"WINNIK"	" DANIEL"	"Washington"	"F(C)"	76	1042.4	30	40	1.727	2.302	42.86	451	522	6.6519	92.3372	98.9891	866	989	49.847	56.926	46.68	3.4642	95.9555	99.4197	6	13	7	19	13	101	166	5.94059405941	3.61445783133	0.3454	0.7483	0.4029	1.0936	0.7483	5.8135	9.5549	20	43.33	63.33	43.33	NA	" DANIEL WINNIK"	13.7157894736842
"348"	"348"	"MITCHELL"	" TORREY"	"Montreal"	"F(C)"	71	900.933	26	37	1.732	2.464	41.27	383	466	6.7885	92.0601	98.8486	671	899	44.687	59.871	42.74	3.8748	95.8843	99.7591	11	8	6	19	17	69	102	15.9420289855	10.7843137255	0.7326	0.5328	0.3996	1.2654	1.1322	4.5952	6.793	42.31	30.77	73.08	65.38	NA	" TORREY MITCHELL"	12.6891971830986
"349"	"349"	"BEAULIEU"	" NATHAN"	"Montreal"	"D"	64	1116.88	44	48	2.364	2.579	47.83	565	511	7.7876	90.6067	98.3943	1065	969	57.213	52.056	52.36	4.1315	95.0464	99.1779	2	17	8	19	10	74	144	2.7027027027	1.38888888889	0.1074	0.9133	0.4298	1.0207	0.5372	3.9753	7.7358	4.55	38.64	43.18	22.73	NA	" NATHAN BEAULIEU"	17.45125
"350"	"350"	"MAATTA"	" OLLI"	"Pittsburgh"	"D"	67	1337.07	71	54	3.186	2.423	56.8	662	697	10.7251	92.2525	102.9776	1197	1242	53.715	55.734	49.08	5.9315	95.6522	101.5837	6	13	7	19	13	95	190	6.31578947368	3.15789473684	0.2692	0.5834	0.3141	0.8526	0.5834	4.2631	8.5261	8.45	18.31	26.76	18.31	NA	" OLLI MAATTA"	19.9562686567164
"351"	"351"	"BOUCHER"	" REID"	"New Jersey"	"F(C)"	39	556.533	24	27	2.587	2.911	47.06	252	283	9.5238	90.4594	99.9832	475	492	51.21	53.043	49.12	5.0526	94.5122	99.5648	8	11	7	19	15	74	123	10.8108108108	6.50406504065	0.8625	1.1859	0.7547	2.0484	1.6172	7.978	13.2607	33.33	45.83	79.17	62.5	NA	" REID BOUCHER"	14.2700769230769
"352"	"352"	"TIERNEY"	" CHRIS"	"San Jose"	"F(C)"	79	1042.18	28	53	1.612	3.051	34.57	427	560	6.5574	90.5357	97.0931	784	1072	45.136	61.717	42.24	3.5714	95.056	98.6274	7	12	9	19	16	95	143	7.36842105263	4.8951048951	0.403	0.6909	0.5181	1.0939	0.9211	5.4693	8.2327	25	42.86	67.86	57.14	NA	" CHRIS TIERNEY"	13.1921518987342
"353"	"353"	"MOORE"	" JOHN"	"New Jersey"	"D"	73	1446.98	51	63	2.115	2.612	44.74	575	771	8.8696	91.8288	100.6984	1029	1361	42.668	56.435	43.05	4.9563	95.371	100.3273	4	15	7	19	11	106	218	3.77358490566	1.83486238532	0.1659	0.622	0.2903	0.7878	0.4561	4.3954	9.0395	7.84	29.41	37.25	21.57	NA	" JOHN MOORE"	19.8216438356164
"354"	"354"	"LECAVALIER"	" VINCENT"	"Los Angeles"	"F(C)"	49	648.767	26	20	2.405	1.85	56.52	315	290	8.254	93.1034	101.3574	587	556	54.288	51.421	51.36	4.4293	96.4029	100.8322	10	8	6	18	16	67	113	14.9253731343	8.84955752212	0.9248	0.7399	0.5549	1.6647	1.4797	6.1964	10.4506	38.46	30.77	69.23	61.54	NA	" VINCENT LECAVALIER"	13.2401428571429
"355"	"355"	"JONES"	" DAVID"	"Minnesota"	"F(RW)"	75	931.5	33	37	2.126	2.383	47.14	383	492	8.6162	92.4797	101.0959	732	943	47.15	60.741	43.7	4.5082	96.0764	100.5846	11	7	6	18	17	84	158	13.0952380952	6.96202531646	0.7085	0.4509	0.3865	1.1594	1.095	5.4106	10.1771	33.33	21.21	54.55	51.52	NA	" DAVID JONES"	12.42
"356"	"356"	"WINGELS"	" TOMMY"	"San Jose"	"F(C)"	68	927.167	26	41	1.683	2.653	38.81	403	423	6.4516	90.3073	96.7589	756	842	48.923	54.489	47.31	3.4392	95.1306	98.5698	7	11	7	18	14	107	172	6.54205607477	4.06976744186	0.453	0.7118	0.453	1.1648	0.906	6.9243	11.1307	26.92	42.31	69.23	53.85	NA	" TOMMY WINGELS"	13.6348088235294
"357"	"357"	"SANTORELLI"	" MIKE"	"Anaheim"	"F(C)"	70	706.483	24	23	2.038	1.953	51.06	355	306	6.7606	92.4837	99.2443	629	569	53.42	48.324	52.5	3.8156	95.9578	99.7734	9	9	1	18	10	79	129	11.3924050633	6.97674418605	0.7643	0.7643	0.0849	1.5287	0.8493	6.7093	10.9557	37.5	37.5	75	41.67	NA	" MIKE SANTORELLI"	10.0926142857143
"358"	"358"	"BARTKOWSKI"	" MATT"	"Vancouver"	"D"	80	1489.53	48	76	1.933	3.061	38.71	646	910	7.4303	91.6484	99.0787	1193	1525	48.055	61.429	43.89	4.0235	95.0164	99.0399	6	12	5	18	11	85	198	7.05882352941	3.0303030303	0.2417	0.4834	0.2014	0.7251	0.4431	3.4239	7.9757	12.5	25	37.5	22.92	NA	" MATT BARTKOWSKI"	18.619125
"359"	"359"	"TANEV"	" CHRISTOPHER"	"Vancouver"	"D"	69	1501	49	70	1.959	2.798	41.18	634	724	7.7287	90.3315	98.0602	1145	1393	45.769	55.683	45.11	4.2795	94.9749	99.2544	4	14	6	18	10	42	96	9.52380952381	4.16666666667	0.1599	0.5596	0.2398	0.7195	0.3997	1.6789	3.8374	8.16	28.57	36.73	20.41	NA	" CHRISTOPHER TANEV"	21.7536231884058
"360"	"360"	"GRABNER"	" MICHAEL"	"Toronto"	"F(RW)"	80	1157.53	30	55	1.555	2.851	35.29	456	657	6.5789	91.6286	98.2075	912	1233	47.273	63.912	42.52	3.2895	95.5393	98.8288	9	9	5	18	14	114	184	7.89473684211	4.89130434783	0.4665	0.4665	0.2592	0.933	0.7257	5.9091	9.5375	30	30	60	46.67	NA	" MICHAEL GRABNER"	14.469125
"361"	"361"	"BYRON"	" PAUL"	"Montreal"	"F(LW)"	62	853.033	24	46	1.688	3.236	34.29	348	449	6.8966	89.755	96.6516	654	806	46.001	56.692	44.79	3.6697	94.2928	97.9625	11	7	6	18	17	51	91	21.568627451	12.0879120879	0.7737	0.4924	0.422	1.2661	1.1957	3.5872	6.4007	45.83	29.17	75	70.83	NA	" PAUL BYRON"	13.7585967741935
"362"	"362"	"MCCANN"	" JARED"	"Vancouver"	"F(C)"	69	864.017	28	31	1.944	2.153	47.46	430	447	6.5116	93.0649	99.5765	788	779	54.721	54.096	50.29	3.5533	96.0205	99.5738	9	9	4	18	13	106	199	8.49056603774	4.52261306533	0.625	0.625	0.2778	1.25	0.9028	7.361	13.8192	32.14	32.14	64.29	46.43	NA	" JARED MCCANN"	12.5219855072464
"363"	"363"	"LARSSON"	" ADAM"	"New Jersey"	"D"	82	1844.48	54	63	1.757	2.049	46.15	585	938	9.2308	93.2836	102.5144	1043	1732	33.928	56.341	37.59	5.1774	96.3626	101.54	3	15	6	18	9	65	154	4.61538461538	1.94805194805	0.0976	0.4879	0.1952	0.5855	0.2928	2.1144	5.0095	5.56	27.78	33.33	16.67	NA	" ADAM LARSSON"	22.4936585365854
"364"	"364"	"HAINSEY"	" RON"	"Carolina"	"D"	81	1806.93	62	101	2.059	3.354	38.04	797	903	7.7792	88.8151	96.5943	1514	1702	50.273	56.516	47.08	4.0951	94.0658	98.1609	5	13	6	18	11	131	251	3.81679389313	1.99203187251	0.166	0.4317	0.1992	0.5977	0.3653	4.3499	8.3346	8.06	20.97	29.03	17.74	NA	" RON HAINSEY"	22.3077777777778
"365"	"365"	"SCHULTZ"	" JUSTIN"	"Pittsburgh"	"D"	63	1158.83	48	56	2.485	2.899	46.15	581	563	8.2616	90.0533	98.3149	1076	1039	55.711	53.795	50.87	4.461	94.6102	99.0712	4	14	6	18	10	82	177	4.87804878049	2.25988700565	0.2071	0.7249	0.3107	0.932	0.5178	4.2456	9.1644	8.33	29.17	37.5	20.83	NA	" JUSTIN SCHULTZ"	18.394126984127
"366"	"366"	"MARCHESSAULT"	" JONATHAN"	"Tampa Bay"	"F(C)"	45	544.017	29	23	3.198	2.537	55.77	340	215	8.5294	89.3023	97.8317	598	381	65.954	42.021	61.08	4.8495	93.9633	98.8128	7	11	3	18	10	81	134	8.64197530864	5.22388059701	0.772	1.2132	0.3309	1.9852	1.1029	8.9335	14.779	24.14	37.93	62.07	34.48	NA	" JONATHAN MARCHESSAULT"	12.0892666666667
"367"	"367"	"GIRGENSONS"	" ZEMGUS"	"Buffalo"	"F(C)"	71	1067.57	31	38	1.742	2.136	44.93	481	516	6.4449	92.6357	99.0806	887	960	49.852	53.954	48.02	3.4949	96.0417	99.5366	7	11	9	18	16	110	179	6.36363636364	3.91061452514	0.3934	0.6182	0.5058	1.0116	0.8992	6.1823	10.0603	22.58	35.48	58.06	51.61	NA	" ZEMGUS GIRGENSONS"	15.0361971830986
"368"	"368"	"MILLER"	" KEVAN"	"Boston"	"D"	71	1352.93	60	67	2.661	2.971	47.24	617	694	9.7245	90.3458	100.0703	1086	1355	48.162	60.092	44.49	5.5249	95.0554	100.5803	5	13	6	18	11	64	145	7.8125	3.44827586207	0.2217	0.5765	0.2661	0.7983	0.4878	2.8383	6.4305	8.33	21.67	30	18.33	NA	" KEVAN MILLER"	19.0553521126761
"369"	"369"	"FERLAND"	" MICHEAL"	"Calgary"	"F(LW)"	71	895.483	37	46	2.479	3.082	44.58	465	406	7.957	88.67	96.627	861	792	57.69	53.066	52.09	4.2973	94.1919	98.4892	4	14	7	18	11	122	189	3.27868852459	2.1164021164	0.268	0.938	0.469	1.2061	0.737	8.1744	12.6636	10.81	37.84	48.65	29.73	NA	" MICHEAL FERLAND"	12.6124366197183
"370"	"370"	"STAJAN"	" MATT"	"Calgary"	"F(C)"	80	1015.8	30	54	1.772	3.19	35.71	379	530	7.9156	89.8113	97.7269	730	1098	43.119	64.855	39.93	4.1096	95.082	99.1916	6	11	8	17	14	58	111	10.3448275862	5.40540540541	0.3544	0.6497	0.4725	1.0041	0.8269	3.4259	6.5564	20	36.67	56.67	46.67	NA	" MATT STAJAN"	12.6975
"371"	"371"	"EAVES"	" PATRICK"	"Dallas"	"F(RW)"	54	700.033	38	28	3.257	2.4	57.58	396	281	9.596	90.0356	99.6316	806	573	69.082	49.112	58.45	4.7146	95.1134	99.828	11	6	4	17	15	86	160	12.7906976744	6.875	0.9428	0.5143	0.3428	1.4571	1.2857	7.3711	13.7136	28.95	15.79	44.74	39.47	NA	" PATRICK EAVES"	12.9635740740741
"372"	"372"	"FRANSON"	" CODY"	"Buffalo"	"D"	59	993.4	32	34	1.933	2.054	48.48	520	462	6.1538	92.6407	98.7945	929	792	56.11	47.836	53.98	3.4446	95.7071	99.1517	4	13	6	17	10	92	189	4.34782608696	2.1164021164	0.2416	0.7852	0.3624	1.0268	0.604	5.5567	11.4153	12.5	40.63	53.13	31.25	NA	" CODY FRANSON"	16.8372881355932
"373"	"373"	"KULIKOV"	" DMITRY"	"Florida"	"D"	74	1556.55	67	74	2.583	2.852	47.52	663	781	10.1056	90.525	100.6306	1151	1408	44.367	54.274	44.98	5.821	94.7443	100.5653	1	16	9	17	10	99	189	1.0101010101	0.529100529101	0.0385	0.6167	0.3469	0.6553	0.3855	3.8161	7.2853	1.49	23.88	25.37	14.93	NA	" DMITRY KULIKOV"	21.0344594594595
"374"	"374"	"BEAGLE"	" JAY"	"Washington"	"F(C)"	57	798.917	20	26	1.502	1.953	43.48	332	415	6.0241	93.7349	99.759	612	797	45.962	59.856	43.44	3.268	96.7378	100.0058	8	9	5	17	13	73	122	10.9589041096	6.55737704918	0.6008	0.6759	0.3755	1.2767	0.9763	5.4824	9.1624	40	45	85	65	NA	" JAY BEAGLE"	14.0160877192982
"375"	"375"	"HICKEY"	" THOMAS"	"NY Islanders"	"D"	62	1079.08	42	42	2.335	2.335	50	452	609	9.292	93.1034	102.3954	878	1118	48.819	62.164	43.99	4.7836	96.2433	101.0269	6	11	7	17	13	55	151	10.9090909091	3.97350993377	0.3336	0.6116	0.3892	0.9452	0.7228	3.0582	8.396	14.29	26.19	40.48	30.95	NA	" THOMAS HICKEY"	17.4045161290323
"376"	"376"	"LARSSON"	" JOHAN"	"Buffalo"	"F(LW)"	74	1096.65	40	35	2.188	1.915	53.33	513	558	7.7973	93.7276	101.5249	955	1010	52.25	55.259	48.6	4.1885	96.5347	100.7232	10	7	5	17	15	95	191	10.5263157895	5.23560209424	0.5471	0.383	0.2736	0.9301	0.8207	5.1976	10.45	25	17.5	42.5	37.5	NA	" JOHAN LARSSON"	14.8195945945946
"377"	"377"	"PETROVIC"	" ALEX"	"Florida"	"D"	66	1119.07	50	47	2.681	2.52	51.55	473	582	10.5708	91.9244	102.4952	859	1039	46.056	55.707	45.26	5.8207	95.4764	101.2971	2	15	9	17	11	53	115	3.77358490566	1.73913043478	0.1072	0.8042	0.4825	0.9115	0.5898	2.8417	6.1659	4	30	34	22	NA	" ALEX PETROVIC"	16.9556060606061
"378"	"378"	"CONNAUTON"	" KEVIN"	"Arizona"	"D"	65	1087.97	46	39	2.537	2.151	54.12	542	580	8.4871	93.2759	101.763	1021	1071	56.307	59.064	48.8	4.5054	96.3585	100.8639	5	12	3	17	8	109	230	4.5871559633	2.17391304348	0.2757	0.6618	0.1654	0.9375	0.4412	6.0112	12.6842	10.87	26.09	36.96	17.39	NA	" KEVIN CONNAUTON"	16.738
"379"	"379"	"MURPHY"	" CONNOR"	"Arizona"	"D"	78	1594.68	59	70	2.22	2.634	45.74	681	872	8.6637	91.9725	100.6362	1317	1619	49.552	60.915	44.86	4.4799	95.6763	100.1562	6	11	4	17	10	101	244	5.94059405941	2.45901639344	0.2258	0.4139	0.1505	0.6396	0.3763	3.8001	9.1805	10.17	18.64	28.81	16.95	NA	" CONNOR MURPHY"	20.4446153846154
"380"	"380"	"NIETO"	" MATT"	"San Jose"	"F(LW)"	67	881.683	24	39	1.633	2.654	38.1	400	436	6	91.055	97.055	746	827	50.767	56.279	47.43	3.2172	95.2842	98.5014	8	9	4	17	12	88	149	9.09090909091	5.36912751678	0.5444	0.6125	0.2722	1.1569	0.8166	5.9885	10.1397	33.33	37.5	70.83	50	NA	" MATT NIETO"	13.159447761194
"381"	"381"	"ANDRIGHETTO"	" SVEN"	"Montreal"	"F(RW)"	44	620.95	28	24	2.706	2.319	53.85	330	291	8.4848	91.7526	100.2374	643	516	62.131	49.859	55.48	4.3546	95.3488	99.7034	7	10	5	17	12	74	131	9.45945945946	5.34351145038	0.6764	0.9663	0.4831	1.6426	1.1595	7.1503	12.658	25	35.71	60.71	42.86	NA	" SVEN ANDRIGHETTO"	14.1125
"382"	"382"	"PRINCE"	" SHANE"	"NY Islanders"	"F(C)"	62	696.267	30	28	2.585	2.413	51.72	355	356	8.4507	92.1348	100.5855	663	664	57.133	57.219	49.96	4.5249	95.7831	100.308	6	11	6	17	12	88	155	6.81818181818	3.87096774194	0.517	0.9479	0.517	1.465	1.0341	7.5833	13.357	20	36.67	56.67	40	NA	" SHANE PRINCE"	11.2301129032258
"383"	"383"	"DI_GIUSEPPE"	" PHILLIP"	"Carolina"	"F(LW)"	41	584.683	27	25	2.771	2.565	51.92	292	311	9.2466	91.9614	101.208	542	554	55.62	56.851	49.45	4.9815	95.4874	100.4689	7	10	7	17	14	68	120	10.2941176471	5.83333333333	0.7183	1.0262	0.7183	1.7445	1.4367	6.9781	12.3144	25.93	37.04	62.96	51.85	NA	" PHILLIP DI_GIUSEPPE"	14.2605609756098
"384"	"384"	"GIRARDI"	" DAN"	"NY Rangers"	"D"	74	1503.73	60	70	2.394	2.793	46.15	587	883	10.2215	92.0725	102.294	1058	1781	42.215	71.063	37.27	5.6711	96.0696	101.7407	2	14	6	16	8	77	149	2.5974025974	1.34228187919	0.0798	0.5586	0.2394	0.6384	0.3192	3.0724	5.9452	3.33	23.33	26.67	13.33	NA	" DAN GIRARDI"	20.3206756756757
"385"	"385"	"ZIDLICKY"	" MAREK"	"NY Islanders"	"D"	53	826.05	38	24	2.76	1.743	61.29	408	386	9.3137	93.7824	103.0961	800	714	58.108	51.861	52.84	4.75	96.6387	101.3887	4	12	6	16	10	48	93	8.33333333333	4.30107526882	0.2905	0.8716	0.4358	1.1622	0.7263	3.4865	6.755	10.53	31.58	42.11	26.32	NA	" MAREK ZIDLICKY"	15.5858490566038
"386"	"386"	"POLAK"	" ROMAN"	"San Jose"	"D"	79	1513.38	44	57	1.744	2.26	43.56	607	780	7.2488	92.6923	99.9411	1189	1495	47.139	59.271	44.3	3.7006	96.1873	99.8879	1	15	8	16	9	91	217	1.0989010989	0.460829493088	0.0396	0.5947	0.3172	0.6343	0.3568	3.6078	8.6032	2.27	34.09	36.36	20.45	NA	" ROMAN POLAK"	19.1567088607595
"387"	"387"	"SCHENN"	" LUKE"	"Los Angeles"	"D"	72	1265.13	49	69	2.324	3.272	41.53	548	687	8.9416	89.9563	98.8979	1082	1282	51.315	60.8	45.77	4.5287	94.6178	99.1465	4	12	4	16	8	76	201	5.26315789474	1.99004975124	0.1897	0.5691	0.1897	0.7588	0.3794	3.6044	9.5326	8.16	24.49	32.65	16.33	NA	" LUKE SCHENN"	17.57125
"388"	"388"	"KENNEDY"	" TYLER"	"New Jersey"	"F(C)"	50	671.25	23	29	2.056	2.592	44.23	316	279	7.2785	89.6057	96.8842	570	470	50.95	42.011	54.81	4.0351	93.8298	97.8649	3	13	8	16	11	72	125	4.16666666667	2.4	0.2682	1.162	0.7151	1.4302	0.9832	6.4358	11.1732	13.04	56.52	69.57	47.83	NA	" TYLER KENNEDY"	13.425
"389"	"389"	"PETRY"	" JEFF"	"Montreal"	"D"	51	1088.72	37	49	2.039	2.7	43.02	536	494	6.903	90.081	96.984	1040	937	57.315	51.639	52.6	3.5577	94.7705	98.3282	5	11	5	16	10	98	233	5.10204081633	2.14592274678	0.2756	0.6062	0.2756	0.8818	0.5511	5.4009	12.8408	13.51	29.73	43.24	27.03	NA	" JEFF PETRY"	21.3474509803922
"390"	"390"	"DE_HAAN"	" CALVIN"	"NY Islanders"	"D"	72	1485.57	57	64	2.302	2.585	47.11	676	729	8.432	91.2208	99.6528	1274	1478	51.455	59.694	46.29	4.4741	95.6698	100.1439	2	14	7	16	9	102	213	1.96078431373	0.93896713615	0.0808	0.5654	0.2827	0.6462	0.3635	4.1196	8.6028	3.51	24.56	28.07	15.79	NA	" CALVIN DE_HAAN"	20.6329166666667
"391"	"391"	"ENSTROM"	" TOBIAS"	"Winnipeg"	"D"	72	1501.52	57	64	2.278	2.557	47.11	690	725	8.2609	91.1724	99.4333	1286	1269	51.388	50.709	50.33	4.4323	94.9567	99.389	2	14	5	16	7	50	120	4	1.66666666667	0.0799	0.5594	0.1998	0.6394	0.2797	1.998	4.7952	3.51	24.56	28.07	12.28	NA	" TOBIAS ENSTROM"	20.8544444444444
"392"	"392"	"GAGNER"	" SAM"	"Philadelphia"	"F(C)"	53	734.617	30	19	2.45	1.552	61.22	371	331	8.0863	94.2598	102.3461	726	605	59.296	49.414	54.55	4.1322	96.8595	100.9917	8	8	4	16	12	87	162	9.19540229885	4.93827160494	0.6534	0.6534	0.3267	1.3068	0.9801	7.1057	13.2314	26.67	26.67	53.33	40	NA	" SAM GAGNER"	13.8606981132075
"393"	"393"	"MICHALEK"	" MILAN"	"Toronto"	"F(LW)"	45	725.333	37	32	3.061	2.647	53.62	332	335	11.1446	90.4478	101.5924	658	631	54.43	52.197	51.05	5.6231	94.9287	100.5518	7	9	5	16	12	64	119	10.9375	5.88235294118	0.579	0.7445	0.4136	1.3235	0.9926	5.2941	9.8438	18.92	24.32	43.24	32.43	NA	" MILAN MICHALEK"	16.1185111111111
"394"	"394"	"PESCE"	" BRETT"	"Carolina"	"D"	69	1294.62	39	47	1.807	2.178	45.35	566	565	6.8905	91.6814	98.5719	1103	1087	51.119	50.378	50.37	3.5358	95.6762	99.212	4	12	4	16	8	85	180	4.70588235294	2.22222222222	0.1854	0.5561	0.1854	0.7415	0.3708	3.9394	8.3422	10.26	30.77	41.03	20.51	NA	" BRETT PESCE"	18.7626086956522
"395"	"395"	"FONTAINE"	" JUSTIN"	"Minnesota"	"F(RW)"	60	706.867	28	30	2.377	2.546	48.28	283	325	9.894	90.7692	100.6632	492	689	41.762	58.483	41.66	5.6911	95.6459	101.337	5	11	7	16	12	54	96	9.25925925926	5.20833333333	0.4244	0.9337	0.5942	1.3581	1.0186	4.5836	8.1486	17.86	39.29	57.14	42.86	NA	" JUSTIN FONTAINE"	11.7811166666667
"396"	"396"	"SCHMIDT"	" NATE"	"Washington"	"D"	72	1300.98	49	48	2.26	2.214	50.52	611	639	8.0196	92.4883	100.5079	1155	1277	53.267	58.894	47.49	4.2424	96.2412	100.4836	2	14	9	16	11	80	184	2.5	1.08695652174	0.0922	0.6457	0.4151	0.7379	0.5073	3.6895	8.4859	4.08	28.57	32.65	22.45	NA	" NATE SCHMIDT"	18.0691666666667
"397"	"397"	"DUMOULIN"	" BRIAN"	"Pittsburgh"	"D"	79	1492.18	58	55	2.332	2.212	51.33	767	733	7.5619	92.4966	100.0585	1344	1285	54.042	51.669	51.12	4.3155	95.7198	100.0353	0	16	8	16	8	101	207	0	0	0	0.6434	0.3217	0.6434	0.3217	4.0612	8.3234	0	27.59	27.59	13.79	NA	" BRIAN DUMOULIN"	18.8883544303797
"398"	"398"	"LOWRY"	" ADAM"	"Winnipeg"	"F(LW)"	74	1037.37	28	54	1.619	3.123	34.15	415	584	6.747	90.7534	97.5004	732	1097	42.338	63.449	40.02	3.8251	95.0775	98.9026	7	9	6	16	13	73	121	9.58904109589	5.78512396694	0.4049	0.5205	0.347	0.9254	0.7519	4.2222	6.9985	25	32.14	57.14	46.43	NA	" ADAM LOWRY"	14.0185135135135
"399"	"399"	"ARVIDSSON"	" VIKTOR"	"Nashville"	"F(LW)"	56	694.467	22	29	1.901	2.506	43.14	377	300	5.8355	90.3333	96.1688	707	593	61.083	51.234	54.38	3.1117	95.1096	98.2213	8	8	5	16	13	139	228	5.75539568345	3.50877192982	0.6912	0.6912	0.432	1.3824	1.1232	12.0092	19.6986	36.36	36.36	72.73	59.09	NA	" VIKTOR ARVIDSSON"	12.4011964285714
"400"	"400"	"BLANDISI"	" JOSEPH"	"New Jersey"	"F(C)"	41	639.783	29	28	2.72	2.626	50.88	288	262	10.0694	89.313	99.3824	538	497	50.455	46.61	51.98	5.3903	94.3662	99.7565	4	12	9	16	13	42	80	9.52380952381	5	0.3751	1.1254	0.844	1.5005	1.2192	3.9388	7.5025	13.79	41.38	55.17	44.83	NA	" JOSEPH BLANDISI"	15.6044634146341
"401"	"401"	"MILLER"	" COLIN"	"Boston"	"D"	42	663.833	33	27	2.983	2.44	55	367	299	8.9918	90.9699	99.9617	668	559	60.377	50.525	54.44	4.9401	95.1699	100.11	3	13	6	16	9	59	140	5.08474576271	2.14285714286	0.2712	1.175	0.5423	1.4461	0.8135	5.3327	12.6538	9.09	39.39	48.48	27.27	NA	" COLIN MILLER"	15.8055476190476
"402"	"402"	"WHITE"	" RYAN"	"Philadelphia"	"F(C)"	73	917.167	30	45	1.963	2.944	40	398	469	7.5377	90.4051	97.9428	788	917	51.55	59.989	46.22	3.8071	95.0927	98.8998	11	5	2	16	13	89	173	12.3595505618	6.35838150289	0.7196	0.3271	0.1308	1.0467	0.8504	5.8223	11.3175	36.67	16.67	53.33	43.33	NA	" RYAN WHITE"	12.5639315068493
"403"	"403"	"ERICSSON"	" JONATHAN"	"Detroit"	"D"	71	1315.95	43	60	1.961	2.736	41.75	533	765	8.0675	92.1569	100.2244	973	1294	44.363	58.999	42.92	4.4193	95.3632	99.7825	3	12	7	15	10	68	154	4.41176470588	1.94805194805	0.1368	0.5471	0.3192	0.6839	0.4559	3.1004	7.0215	6.98	27.91	34.88	23.26	NA	" JONATHAN ERICSSON"	18.5345070422535
"404"	"404"	"BERGLUND"	" PATRIK"	"St. Louis"	"F(C)"	42	650.233	26	23	2.399	2.122	53.06	324	322	8.0247	92.8571	100.8818	575	580	53.058	53.519	49.78	4.5217	96.0345	100.5562	10	5	2	15	12	80	128	12.5	7.8125	0.9227	0.4614	0.1845	1.3841	1.1073	7.382	11.8111	38.46	19.23	57.69	46.15	NA	" PATRIK BERGLUND"	15.4817380952381
"405"	"405"	"DORSETT"	" DEREK"	"Vancouver"	"F(RW)"	71	893.917	26	43	1.745	2.886	37.68	373	472	6.9705	90.8898	97.8603	677	853	45.44	57.254	44.25	3.8405	94.959	98.7995	5	10	5	15	10	91	147	5.49450549451	3.40136054422	0.3356	0.6712	0.3356	1.0068	0.6712	6.108	9.8667	19.23	38.46	57.69	38.46	NA	" DEREK DORSETT"	12.5903802816901
"406"	"406"	"MOORE"	" DOMINIC"	"NY Rangers"	"F(C)"	80	1063.47	28	54	1.58	3.047	34.15	381	623	7.3491	91.3323	98.6814	687	1195	38.76	67.421	36.5	4.0757	95.4812	99.5569	6	9	5	15	11	94	150	6.3829787234	4	0.3385	0.5078	0.2821	0.8463	0.6206	5.3034	8.4629	21.43	32.14	53.57	39.29	NA	" DOMINIC MOORE"	13.293375
"407"	"407"	"LEWIS"	" TREVOR"	"Los Angeles"	"F(C)"	75	1091.98	27	50	1.484	2.747	35.06	524	484	5.1527	89.6694	94.8221	969	922	53.243	50.66	51.24	2.7864	94.577	97.3634	8	7	4	15	12	167	265	4.79041916168	3.01886792453	0.4396	0.3846	0.2198	0.8242	0.6594	9.176	14.5607	29.63	25.93	55.56	44.44	NA	" TREVOR LEWIS"	14.5597333333333
