"Rank"	"LastName"	"FirstName"	"Team"	"Pos"	"GP"	"TOI"	"GF"	"GA"	"GF60"	"GA60"	"GF."	"SF"	"SA"	"Sh."	"Sv."	"PDO"	"CF"	"CA"	"CF60"	"CA60"	"CF."	"CSh."	"CSv."	"CPDO"	"G"	"A"	"FirstA"	"Pts"	"Pri..Pts"	"Shots"	"iCorsi"	"iSh."	"iCSh."	"Goals.per60"	"Assists.per60"	"FirstA.per60"	"Points.per60"	"Pri.Pts..per60"	"Shots.per60"	"iCorsi.per60"	"IGP"	"IAP"	"IPP"	"IPPP"	"X"	"FirstLast"	"Gratio"	"PtoT"	"AvgPtTime"	"TimePerGame"	"PtsPerGame"	"PlusMin"	"Position"
"299"	"299"	"BOUCHER"	" REID"	"New Jersey"	"F(C)"	39	467.583	13	22	1.668	2.823	37.14	188	255	6.9149	91.3726	98.2875	353	450	45.297	57.744	43.96	3.6827	95.1111	98.7938	6	6	5	12	11	52	89	11.5384615385	6.74157303371	0.7699	0.7699	0.6416	1.5398	1.4115	6.6726	11.4204	46.15	46.15	92.31	84.62	NA	" REID BOUCHER"	0.115384615384615	0.0256638928275836	38.96525	11.9893076923077	1.00089182027576	-9	"F(C)"
"300"	"300"	"PARAYKO"	" COLTON"	"St. Louis"	"D"	79	1260.12	60	34	2.857	1.619	63.83	671	541	8.9419	93.7153	102.6572	1237	1012	58.899	48.186	55	4.8504	96.6403	101.4907	5	19	12	24	17	127	273	3.93700787402	1.8315018315	0.2381	0.9047	0.5714	1.1428	0.8094	6.0471	12.9988	8.33	31.67	40	28.33	NA	" COLTON PARAYKO"	0.0393700787401575	0.0190458051614132	52.505	15.9508860759494	1.50461860775164	26	"D"
"301"	"301"	"HOLDEN"	" NICK"	"Colorado"	"D"	82	1478.13	59	63	2.395	2.557	48.36	686	815	8.6006	92.2699	100.8705	1262	1545	51.227	62.714	44.96	4.6751	95.9223	100.5974	5	12	5	17	10	87	182	5.74712643678	2.74725274725	0.203	0.4871	0.203	0.6901	0.4059	3.5315	7.3877	8.47	20.34	28.81	16.95	NA	" NICK HOLDEN"	0.0574712643678161	0.011501018178374	86.9488235294118	18.0259756097561	0.94308349062667	-4	"D"
"302"	"302"	"SHATTENKIRK"	" KEVIN"	"St. Louis"	"D"	72	1181.73	38	44	1.929	2.234	46.34	575	524	6.6087	91.6031	98.2118	1076	979	54.632	49.707	52.36	3.5316	95.5056	99.0372	5	5	4	10	9	119	230	4.20168067227	2.17391304348	0.2539	0.2539	0.2031	0.5077	0.457	6.042	11.6778	13.16	13.16	26.32	23.68	NA	" KEVIN SHATTENKIRK"	0.0420168067226891	0.00846216986959796	118.173	16.4129166666667	0.609276230611053	-6	"D"
"303"	"303"	"KALININ"	" SERGEY"	"New Jersey"	"F(C)"	78	902.3	21	30	1.396	1.995	41.18	336	416	6.25	92.7885	99.0385	633	747	42.092	49.673	45.87	3.3175	95.9839	99.3014	5	7	3	12	8	62	106	8.06451612903	4.71698113208	0.3325	0.4655	0.1995	0.798	0.532	4.1228	7.0487	23.81	33.33	57.14	38.1	NA	" SERGEY KALININ"	0.0806451612903226	0.0132993461154827	75.1916666666667	11.5679487179487	1.03734899700765	-9	"F(C)"
"304"	"304"	"CRACKNELL"	" ADAM"	"Edmonton"	"F(RW)"	52	586.65	11	14	1.125	1.432	44	246	282	4.4715	95.0355	99.507	472	535	48.274	54.717	46.87	2.3305	97.3832	99.7137	5	5	4	10	9	66	116	7.57575757576	4.31034482759	0.5114	0.5114	0.4091	1.0228	0.9205	6.7502	11.864	45.45	45.45	90.91	81.82	NA	" ADAM CRACKNELL"	0.0757575757575758	0.0170459388050797	58.665	11.2817307692308	0.886388817864144	-3	"F(RW)"
"305"	"305"	"RICHARDS"	" BRAD"	"Detroit"	"F(C)"	68	799.317	23	20	1.726	1.501	53.49	406	392	5.665	94.898	100.563	759	646	56.974	48.491	54.02	3.0303	96.904	99.9343	5	6	4	11	9	111	192	4.5045045045	2.60416666667	0.3753	0.4504	0.3003	0.8257	0.6756	8.3321	14.4123	21.74	26.09	47.83	39.13	NA	" BRAD RICHARDS"	0.045045045045045	0.0137617490932884	72.6651818181818	11.7546617647059	0.935798938343611	3	"F(C)"
"306"	"306"	"ZAJAC"	" TRAVIS"	"New Jersey"	"F(C)"	74	992.4	31	28	1.874	1.693	52.54	404	477	7.6733	94.13	101.8033	721	861	43.591	52.056	45.58	4.2996	96.748	101.0476	5	15	8	20	13	80	132	6.25	3.78787878788	0.3023	0.9069	0.4837	1.2092	0.786	4.8368	7.9807	16.13	48.39	64.52	41.94	NA	" TRAVIS ZAJAC"	0.0625	0.0201531640467553	49.62	13.4108108108108	1.4913341394599	3	"F(C)"
"307"	"307"	"GLENDENING"	" LUKE"	"Detroit"	"F(C)"	81	882.2	27	30	1.836	2.04	47.37	350	449	7.7143	93.3185	101.0328	654	795	44.48	54.069	45.13	4.1284	96.2264	100.3548	5	11	4	16	9	76	137	6.57894736842	3.6496350365	0.3401	0.7481	0.272	1.0882	0.6121	5.1689	9.3176	18.52	40.74	59.26	33.33	NA	" LUKE GLENDENING"	0.0657894736842105	0.0181364769893448	55.1375	10.8913580246914	1.46905463613693	-3	"F(C)"
"308"	"308"	"JOSI"	" ROMAN"	"Nashville"	"D"	81	1484.62	54	56	2.182	2.263	49.09	762	737	7.0866	92.4016	99.4882	1442	1425	58.278	57.591	50.3	3.7448	96.0702	99.815	5	22	15	27	20	129	269	3.87596899225	1.85873605948	0.2021	0.8891	0.6062	1.0912	0.8083	5.2135	10.8715	9.26	40.74	50	37.04	NA	" ROMAN JOSI"	0.0387596899224806	0.0181864719591545	54.9859259259259	18.3286419753086	1.47310422869152	-2	"D"
"309"	"309"	"STONE"	" MICHAEL"	"Arizona"	"D"	75	1239.15	41	45	1.985	2.179	47.67	574	669	7.1429	93.2735	100.4164	1115	1225	53.989	59.315	47.65	3.6771	96.3265	100.0036	5	12	4	17	9	110	255	4.54545454545	1.96078431373	0.2421	0.581	0.1937	0.8231	0.4358	5.3262	12.3472	12.2	29.27	41.46	21.95	NA	" MICHAEL STONE"	0.0454545454545455	0.0137190816285357	72.8911764705882	16.522	1.02893112214018	-4	"D"
"310"	"310"	"SCHWARTZ"	" JADEN"	"St. Louis"	"F(C)"	33	436.883	18	11	2.472	1.511	62.07	218	204	8.2569	94.6078	102.8647	430	367	59.055	50.402	53.95	4.186	97.0027	101.1887	5	8	5	13	10	42	74	11.9047619048	6.75675675676	0.6867	1.0987	0.6867	1.7854	1.3734	5.7681	10.1629	27.78	44.44	72.22	55.56	NA	" JADEN SCHWARTZ"	0.119047619047619	0.0297562505293179	33.6063846153846	13.2388787878788	0.981956267467491	7	"F(C)"
"311"	"311"	"WIDEMAN"	" CHRIS"	"Ottawa"	"D"	64	816.533	32	28	2.351	2.057	53.33	385	441	8.3117	93.6508	101.9625	714	842	52.466	61.871	45.89	4.4818	96.6746	101.1564	5	4	2	9	7	76	158	6.57894736842	3.16455696203	0.3674	0.2939	0.147	0.6613	0.5144	5.5846	11.6101	15.63	12.5	28.13	21.88	NA	" CHRIS WIDEMAN"	0.0657894736842105	0.0110222122069775	90.7258888888889	12.758328125	0.705421581246563	4	"D"
"312"	"312"	"GRIGORENKO"	" MIKHAIL"	"Colorado"	"F(C)"	74	816.167	38	29	2.794	2.132	56.72	366	438	10.3825	93.379	103.7615	662	838	48.667	61.605	44.13	5.7402	96.5394	102.2796	5	17	11	22	16	73	124	6.84931506849	4.03225806452	0.3676	1.2497	0.8087	1.6173	1.1762	5.3666	9.1158	13.16	44.74	57.89	42.11	NA	" MIKHAIL GRIGORENKO"	0.0684931506849315	0.0269552677331968	37.0985	11.0292837837838	1.99468981225656	9	"F(C)"
"313"	"313"	"HOWDEN"	" QUINTON"	"Florida"	"F(C)"	58	582	16	17	1.649	1.753	48.48	235	271	6.8085	93.7269	100.5354	402	470	41.443	48.454	46.1	3.9801	96.383	100.3631	5	5	3	10	8	52	78	9.61538461538	6.41025641026	0.5155	0.5155	0.3093	1.0309	0.8247	5.3608	8.0412	31.25	31.25	62.5	50	NA	" QUINTON HOWDEN"	0.0961538461538462	0.0171821305841924	58.2	10.0344827586207	0.996563573883161	-1	"F(C)"
"314"	"314"	"VATANEN"	" SAMI"	"Anaheim"	"D"	71	1089.5	35	37	1.927	2.038	48.61	505	515	6.9307	92.8155	99.7462	1005	992	55.346	54.631	50.33	3.4826	96.2702	99.7528	5	9	7	14	12	73	159	6.84931506849	3.14465408805	0.2754	0.4956	0.3855	0.771	0.6609	4.0202	8.7563	14.29	25.71	40	34.29	NA	" SAMI VATANEN"	0.0684931506849315	0.0128499311610831	77.8214285714286	15.3450704225352	0.912345112436898	-2	"D"
"315"	"315"	"BURROWS"	" ALEX"	"Vancouver"	"F(LW)"	79	877.317	18	28	1.231	1.915	39.13	400	440	4.5	93.6364	98.1364	746	803	51.019	54.917	48.16	2.4129	96.5131	98.926	5	8	3	13	8	99	165	5.05050505051	3.0303030303	0.342	0.5471	0.2052	0.8891	0.5471	6.7706	11.2844	27.78	44.44	72.22	44.44	NA	" ALEX BURROWS"	0.0505050505050505	0.0148179050445848	67.4859230769231	11.1052784810127	1.1706144985222	-10	"F(LW)"
"316"	"316"	"GUDAS"	" RADKO"	"Philadelphia"	"D"	76	1232.38	39	42	1.899	2.045	48.15	657	595	5.9361	92.9412	98.8773	1297	1106	63.146	53.847	53.97	3.0069	96.2025	99.2094	5	8	5	13	10	137	312	3.6496350365	1.60256410256	0.2434	0.3895	0.2434	0.6329	0.4869	6.67	15.1901	12.82	20.51	33.33	25.64	NA	" RADKO GUDAS"	0.0364963503649635	0.010548694396209	94.7984615384616	16.2155263157895	0.801700774111881	-3	"D"
"317"	"317"	"FONTAINE"	" JUSTIN"	"Minnesota"	"F(RW)"	60	611.517	26	24	2.551	2.355	52	257	260	10.1167	90.7692	100.8859	450	553	44.153	54.259	44.87	5.7778	95.66	101.4378	5	10	6	15	11	46	85	10.8695652174	5.88235294118	0.4906	0.9812	0.5887	1.4718	1.0793	4.5134	8.3399	19.23	38.46	57.69	42.31	NA	" JUSTIN FONTAINE"	0.108695652173913	0.0245291627215597	40.7678	10.19195	1.47174976329358	2	"F(RW)"
"318"	"318"	"DEKEYSER"	" DANNY"	"Detroit"	"D"	78	1363.77	40	47	1.76	2.068	45.98	631	666	6.3391	92.9429	99.282	1111	1164	48.879	51.211	48.84	3.6004	95.9622	99.5626	5	10	6	15	11	63	130	7.93650793651	3.84615384615	0.22	0.44	0.264	0.6599	0.484	2.7717	5.7195	12.5	25	37.5	27.5	NA	" DANNY DEKEYSER"	0.0793650793650794	0.0109989221056336	90.918	17.4842307692308	0.857915924239425	-7	"D"
"319"	"319"	"TROUBA"	" JACOB"	"Winnipeg"	"D"	81	1394.53	55	45	2.366	1.936	55	712	624	7.7247	92.7885	100.5132	1318	1221	56.707	52.534	51.91	4.173	96.3145	100.4875	5	8	4	13	9	104	222	4.80769230769	2.25225225225	0.2151	0.3442	0.1721	0.5593	0.3872	4.4746	9.5516	9.09	14.55	23.64	16.36	NA	" JACOB TROUBA"	0.0480769230769231	0.00932213720751794	107.271538461538	17.2164197530864	0.755093113808953	10	"D"
"320"	"320"	"WINNIK"	" DANIEL"	"Washington"	"F(C)"	76	866.55	24	24	1.662	1.662	50	410	415	5.8537	94.2169	100.0706	786	773	54.423	53.523	50.42	3.0534	96.8952	99.9486	5	10	5	15	10	96	157	5.20833333333	3.1847133758	0.3462	0.6924	0.3462	1.0386	0.6924	6.647	10.8707	20.83	41.67	62.5	41.67	NA	" DANIEL WINNIK"	0.0520833333333333	0.0173100225030293	57.77	11.4019736842105	1.31556171023022	0	"F(C)"
"321"	"321"	"COGLIANO"	" ANDREW"	"Anaheim"	"F(C)"	82	987.183	33	35	2.006	2.127	48.53	504	446	6.5476	92.1525	98.7001	936	830	56.889	50.447	53	3.5256	95.7831	99.3087	5	21	10	26	15	115	197	4.34782608696	2.53807106599	0.3039	1.2764	0.6078	1.5803	0.9117	6.9896	11.9735	15.15	63.64	78.79	45.45	NA	" ANDREW COGLIANO"	0.0434782608695652	0.0263375686169636	37.9685769230769	12.0388170731707	2.15968062659102	-2	"F(C)"
"322"	"322"	"HORCOFF"	" SHAWN"	"Anaheim"	"F(C)"	59	654.733	19	18	1.741	1.65	51.35	306	280	6.2092	93.5714	99.7806	555	542	50.86	49.669	50.59	3.4234	96.679	100.1024	5	8	5	13	10	68	105	7.35294117647	4.7619047619	0.4582	0.7331	0.4582	1.1913	0.9164	6.2315	9.6222	26.32	42.11	68.42	52.63	NA	" SHAWN HORCOFF"	0.0735294117647059	0.019855421981174	50.3640769230769	11.0971694915254	1.17146989688927	1	"F(C)"
"323"	"323"	"CONNAUTON"	" KEVIN"	"Arizona"	"D"	65	936.433	37	28	2.371	1.794	56.92	455	511	8.1319	94.5205	102.6524	848	951	54.334	60.933	47.14	4.3632	97.0557	101.4189	5	6	1	11	6	90	188	5.55555555556	2.65957446809	0.3204	0.3844	0.0641	0.7048	0.3844	5.7666	12.0457	13.51	16.22	29.73	16.22	NA	" KEVIN CONNAUTON"	0.0555555555555556	0.0117467026471728	85.1302727272727	14.4066615384615	0.763535672066234	9	"D"
"324"	"324"	"THORBURN"	" CHRIS"	"Winnipeg"	"F(RW)"	82	760.867	21	24	1.656	1.893	46.67	314	366	6.6879	93.4426	100.1305	588	704	46.368	55.516	45.51	3.5714	96.5909	100.1623	5	6	4	11	9	66	110	7.57575757576	4.54545454545	0.3943	0.4731	0.3154	0.8674	0.7097	5.2046	8.6743	23.81	28.57	52.38	42.86	NA	" CHRIS THORBURN"	0.0757575757575758	0.0144571915985317	69.1697272727273	9.27886585365854	1.1854897110796	-3	"F(RW)"
"325"	"325"	"GIRGENSONS"	" ZEMGUS"	"Buffalo"	"F(C)"	71	888.383	23	19	1.553	1.283	54.76	387	397	5.9432	95.2141	101.1573	725	747	48.965	50.451	49.25	3.1724	97.4565	100.6289	5	9	7	14	12	96	158	5.20833333333	3.16455696203	0.3377	0.6078	0.4728	0.9455	0.8105	6.4837	10.6711	21.74	39.13	60.87	52.17	NA	" ZEMGUS GIRGENSONS"	0.0520833333333333	0.0157589688231315	63.4559285714286	12.5124366197183	1.11888678644233	4	"F(C)"
"326"	"326"	"MILLER"	" KEVAN"	"Boston"	"D"	71	1136.02	50	42	2.641	2.218	54.35	570	541	8.7719	92.2366	101.0085	1023	1030	54.031	54.401	49.83	4.8876	95.9223	100.8099	5	12	6	17	11	61	140	8.19672131148	3.57142857143	0.2641	0.6338	0.3169	0.8979	0.581	3.2218	7.3943	10	24	34	22	NA	" KEVAN MILLER"	0.0819672131147541	0.0149645252724424	66.8247058823529	16.0002816901408	1.06248129434341	8	"D"
"327"	"327"	"BURMISTROV"	" ALEXANDER"	"Winnipeg"	"F(C)"	81	1044.37	26	40	1.494	2.298	39.39	474	491	5.4852	91.8534	97.3386	851	908	48.891	52.166	48.38	3.0552	95.5947	98.6499	5	12	5	17	10	89	182	5.61797752809	2.74725274725	0.2873	0.6894	0.2873	0.9767	0.5745	5.1131	10.4561	19.23	46.15	65.38	38.46	NA	" ALEXANDER BURMISTROV"	0.0561797752808989	0.0162777559677126	61.4335294117647	12.8934567901235	1.31849823338472	-14	"F(C)"
"328"	"328"	"BENNETT"	" BEAU"	"Pittsburgh"	"F(RW)"	33	331.583	13	14	2.352	2.533	48.15	167	165	7.7844	91.5152	99.2996	320	296	57.904	53.561	51.95	4.0625	95.2703	99.3328	5	2	0	7	5	44	76	11.3636363636	6.57894736842	0.9047	0.3619	0	1.2666	0.9047	7.9618	13.7522	38.46	15.38	53.85	38.46	NA	" BEAU BENNETT"	0.113636363636364	0.0211108530895733	47.369	10.0479696969697	0.696658151955921	-1	"F(RW)"
"329"	"329"	"BARTKOWSKI"	" MATT"	"Vancouver"	"D"	80	1313.15	39	59	1.782	2.696	39.8	594	777	6.5657	92.4067	98.9724	1100	1297	50.261	59.262	45.89	3.5455	95.451	98.9965	5	10	3	15	8	82	185	6.09756097561	2.7027027027	0.2285	0.4569	0.1371	0.6854	0.3655	3.7467	8.453	12.82	25.64	38.46	20.51	NA	" MATT BARTKOWSKI"	0.0609756097560976	0.0114229143662186	87.5433333333333	16.414375	0.913833149297491	-20	"D"
"330"	"330"	"BONINO"	" NICK"	"Pittsburgh"	"F(C)"	63	712.767	30	17	2.525	1.431	63.83	373	316	8.0429	94.6203	102.6632	669	634	56.316	53.369	51.34	4.4843	97.3186	101.8029	5	19	11	24	16	73	121	6.84931506849	4.13223140496	0.4209	1.5994	0.926	2.0203	1.3469	6.1451	10.1857	16.67	63.33	80	53.33	NA	" NICK BONINO"	0.0684931506849315	0.0336715925400587	29.698625	11.3137619047619	2.1213103300237	13	"F(C)"
"331"	"331"	"DALEY"	" TREVOR"	"Pittsburgh"	"D"	82	1243.12	52	39	2.51	1.882	57.14	660	592	7.8788	93.4122	101.291	1230	1051	59.367	50.727	53.92	4.2276	96.2892	100.5168	5	13	5	18	10	108	219	4.62962962963	2.28310502283	0.2413	0.6275	0.2413	0.8688	0.4827	5.2127	10.5702	9.62	25	34.62	19.23	NA	" TREVOR DALEY"	0.0462962962962963	0.0144796962481498	69.0622222222222	15.16	1.18733509234829	13	"D"
"332"	"332"	"FILPPULA"	" VALTTERI"	"Tampa Bay"	"F(C)"	76	986.267	27	33	1.643	2.008	45	494	469	5.4656	92.9638	98.4294	908	871	55.239	52.988	51.04	2.9736	96.2113	99.1849	5	12	8	17	13	75	114	6.66666666667	4.38596491228	0.3042	0.73	0.4867	1.0342	0.7909	4.5627	6.9352	18.52	44.44	62.96	48.15	NA	" VALTTERI FILPPULA"	0.0666666666666667	0.0172367117626363	58.0157058823529	12.9771973684211	1.30999009396036	-6	"F(C)"
"333"	"333"	"CARLSON"	" JOHN"	"Washington"	"D"	56	955.667	42	29	2.637	1.821	59.15	509	444	8.2515	93.4685	101.72	921	906	57.824	56.882	50.41	4.5603	96.7991	101.3594	5	16	10	21	15	84	168	5.95238095238	2.97619047619	0.3139	1.0045	0.6278	1.3185	0.9418	5.2738	10.5476	11.9	38.1	50	35.71	NA	" JOHN CARLSON"	0.0595238095238095	0.0219741813832643	45.5079523809524	17.0654821428571	1.2305541574628	13	"D"
"334"	"334"	"WHITE"	" RYAN"	"Philadelphia"	"F(C)"	73	758.35	17	27	1.345	2.136	38.64	314	381	5.414	92.9134	98.3274	639	749	50.557	59.26	46.04	2.6604	96.3952	99.0556	5	5	2	10	7	75	152	6.66666666667	3.28947368421	0.3956	0.3956	0.1582	0.7912	0.5538	5.9339	12.0261	29.41	29.41	58.82	41.18	NA	" RYAN WHITE"	0.0666666666666667	0.0131865233731127	75.835	10.3883561643836	0.962616206237225	-10	"F(C)"
"335"	"335"	"MARTINEZ"	" ALEC"	"Los Angeles"	"D"	78	1244.37	44	34	2.122	1.639	56.41	615	565	7.1545	93.9823	101.1368	1275	1138	61.477	54.871	52.84	3.451	97.0123	100.4633	5	8	5	13	10	70	200	7.14285714286	2.5	0.2411	0.3857	0.2411	0.6268	0.4822	3.3752	9.6435	11.36	18.18	29.55	22.73	NA	" ALEC MARTINEZ"	0.0714285714285714	0.010447053529095	95.7207692307692	15.9534615384615	0.814870175269414	10	"D"
"336"	"336"	"SCHLEMKO"	" DAVID"	"New Jersey"	"D"	67	956.367	26	41	1.631	2.572	38.81	390	415	6.6667	90.1205	96.7872	705	746	44.23	46.802	48.59	3.6879	94.504	98.1919	5	2	2	7	7	73	126	6.84931506849	3.96825396825	0.3137	0.1255	0.1255	0.4392	0.4392	4.5798	7.9049	19.23	7.69	26.92	26.92	NA	" DAVID SCHLEMKO"	0.0684931506849315	0.00731936589196407	136.623857142857	14.2741343283582	0.490397514761593	-15	"D"
"337"	"337"	"LEWIS"	" TREVOR"	"Los Angeles"	"F(C)"	75	916	22	32	1.441	2.096	40.74	466	359	4.721	91.0863	95.8073	866	689	56.725	45.131	55.69	2.5404	95.3556	97.896	5	6	3	11	8	140	230	3.57142857143	2.17391304348	0.3275	0.393	0.1965	0.7205	0.524	9.1703	15.0655	22.73	27.27	50	36.36	NA	" TREVOR LEWIS"	0.0357142857142857	0.0120087336244541	83.2727272727273	12.2133333333333	0.900655021834061	-10	"F(C)"
"338"	"338"	"PIETRANGELO"	" ALEX"	"St. Louis"	"D"	73	1403.73	52	39	2.223	1.667	57.14	754	705	6.8966	94.4681	101.3647	1337	1283	57.148	54.839	51.03	3.8893	96.9603	100.8496	5	18	13	23	18	130	238	3.84615384615	2.10084033613	0.2137	0.7694	0.5557	0.9831	0.7694	5.5566	10.1729	9.62	34.62	44.23	34.62	NA	" ALEX PIETRANGELO"	0.0384615384615385	0.0163849173274063	61.0317391304348	19.2291780821918	1.19609896490066	13	"D"
"339"	"339"	"KORPIKOSKI"	" LAURI"	"Edmonton"	"F(LW)"	71	764.1	17	33	1.335	2.591	34	296	401	5.7432	91.7706	97.5138	591	782	46.408	61.406	43.04	2.8765	95.7801	98.6566	5	8	5	13	10	69	122	7.24637681159	4.09836065574	0.3926	0.6282	0.3926	1.0208	0.7852	5.4181	9.5799	29.41	47.06	76.47	58.82	NA	" LAURI KORPIKOSKI"	0.072463768115942	0.0170134799110064	58.7769230769231	10.7619718309859	1.20795707368146	-16	"F(LW)"
"340"	"340"	"MOULSON"	" MATT"	"Buffalo"	"F(LW)"	81	795.717	22	26	1.659	1.96	45.83	368	379	5.9783	93.1398	99.1181	666	683	50.219	51.501	49.37	3.3033	96.1933	99.4966	5	8	5	13	10	82	137	6.09756097561	3.6496350365	0.377	0.6032	0.377	0.9802	0.754	6.1831	10.3303	22.73	36.36	59.09	45.45	NA	" MATT MOULSON"	0.0609756097560976	0.0163374667124116	61.209	9.82366666666667	1.32333480370534	-4	"F(LW)"
"341"	"341"	"BOYLE"	" DAN"	"NY Rangers"	"D"	74	1137.42	47	41	2.479	2.163	53.41	542	546	8.6716	92.4908	101.1624	1030	1038	54.334	54.756	49.81	4.5631	96.0501	100.6132	5	6	2	11	7	60	118	8.33333333333	4.23728813559	0.2638	0.3165	0.1055	0.5803	0.3693	3.1651	6.2246	10.64	12.77	23.4	14.89	NA	" DAN BOYLE"	0.0833333333333333	0.00967100982926272	103.401818181818	15.3705405405405	0.715654727365441	6	"D"
"342"	"342"	"NYSTROM"	" ERIC"	"Nashville"	"F(LW)"	46	452.483	7	16	0.928	2.122	30.43	170	189	4.1176	91.5344	95.652	318	386	42.167	51.184	45.17	2.2013	95.8549	98.0562	5	0	0	5	5	21	44	23.8095238095	11.3636363636	0.663	0	0	0.663	0.663	2.7846	5.8345	71.43	0	71.43	71.43	NA	" ERIC NYSTROM"	0.238095238095238	0.011050138900246	90.4966	9.83658695652174	0.508306389411315	-9	"F(LW)"
"343"	"343"	"RIBEIRO"	" MIKE"	"Nashville"	"F(C)"	81	1122.78	54	39	2.886	2.084	58.06	600	523	9	92.543	101.543	1152	884	61.561	47.24	56.58	4.6875	95.5882	100.2757	5	29	14	34	19	64	103	7.8125	4.85436893204	0.2672	1.5497	0.7481	1.8169	1.0153	3.4201	5.5042	9.26	53.7	62.96	35.19	NA	" MIKE RIBEIRO"	0.078125	0.0302819786601115	33.0229411764706	13.8614814814815	2.45284027146903	15	"F(C)"
"344"	"344"	"DANO"	" MARKO"	"Winnipeg"	"F(C)"	34	384.067	11	19	1.718	2.968	36.67	193	181	5.6995	89.5028	95.2023	363	312	56.709	48.742	53.78	3.0303	93.9103	96.9406	5	4	1	9	6	52	85	9.61538461538	5.88235294118	0.7811	0.6249	0.1562	1.406	0.9373	8.1236	13.2789	45.45	36.36	81.82	54.55	NA	" MARKO DANO"	0.0961538461538462	0.0234334113579141	42.6741111111111	11.2960882352941	0.79673598616908	-8	"F(C)"
"345"	"345"	"BELLEMARE"	" PIERRE-EDOUARD"	"Philadelphia"	"F(LW)"	74	777.867	15	27	1.157	2.083	35.71	332	409	4.5181	93.3985	97.9166	686	790	52.914	60.936	46.48	2.1866	96.5823	98.7689	5	4	3	9	8	86	173	5.81395348837	2.8901734104	0.3857	0.3085	0.2314	0.6942	0.6171	6.6335	13.3442	33.33	26.67	60	53.33	NA	" PIERRE-EDOUARD BELLEMARE"	0.0581395348837209	0.0115701013155205	86.4296666666667	10.5117162162162	0.856187497348518	-12	"F(LW)"
"346"	"346"	"PAQUETTE"	" CEDRIC"	"Tampa Bay"	"F(C)"	56	601.167	12	18	1.198	1.797	40	271	271	4.428	93.3579	97.7859	515	500	51.4	49.903	50.74	2.3301	96.4	98.7301	5	3	2	8	7	46	95	10.8695652174	5.26315789474	0.499	0.2994	0.1996	0.7984	0.6986	4.5911	9.4816	41.67	25	66.67	58.33	NA	" CEDRIC PAQUETTE"	0.108695652173913	0.0133074503424173	75.145875	10.735125	0.745217219175371	-6	"F(C)"
"347"	"347"	"NESTRASIL"	" ANDREJ"	"Carolina"	"F(C)"	55	706.4	27	24	2.293	2.039	52.94	323	288	8.3591	91.6667	100.0258	675	550	57.333	46.716	55.1	4	95.6364	99.6364	5	12	8	17	13	91	173	5.49450549451	2.8901734104	0.4247	1.0193	0.6795	1.4439	1.1042	7.7293	14.6942	18.52	44.44	62.96	48.15	NA	" ANDREJ NESTRASIL"	0.0549450549450549	0.0240656851642129	41.5529411764706	12.8436363636364	1.32361268403171	3	"F(C)"
"348"	"348"	"PAKARINEN"	" IIRO"	"Edmonton"	"F(RW)"	63	570.65	13	21	1.367	2.208	38.24	228	282	5.7018	92.5532	98.255	446	524	46.894	55.095	45.98	2.9148	95.9924	98.9072	5	6	3	11	8	71	129	7.04225352113	3.87596899225	0.5257	0.6309	0.3154	1.1566	0.8411	7.4652	13.5635	38.46	46.15	84.62	61.54	NA	" IIRO PAKARINEN"	0.0704225352112676	0.0192762639095768	51.8772727272727	9.05793650793651	1.21440462630334	-8	"F(RW)"
"349"	"349"	"CONNOLLY"	" BRETT"	"Boston"	"F(RW)"	71	841.067	37	39	2.64	2.782	48.68	464	431	7.9741	90.9513	98.9254	804	759	57.356	54.146	51.44	4.602	94.8617	99.4637	5	13	8	18	13	83	147	6.02409638554	3.40136054422	0.3567	0.9274	0.5707	1.2841	0.9274	5.9211	10.4867	13.51	35.14	48.65	35.14	NA	" BRETT CONNOLLY"	0.0602409638554217	0.0214013865720567	46.7259444444444	11.846014084507	1.51949844661602	-2	"F(RW)"
"350"	"350"	"GARDINER"	" JAKE"	"Toronto"	"D"	79	1332.25	43	53	1.937	2.387	44.79	705	665	6.0993	92.0301	98.1294	1363	1184	61.385	53.323	53.51	3.1548	95.5237	98.6785	5	10	5	15	10	92	239	5.4347826087	2.09205020921	0.2252	0.4504	0.2252	0.6755	0.4504	4.1434	10.7637	11.63	23.26	34.88	23.26	NA	" JAKE GARDINER"	0.0543478260869565	0.011259148057797	88.8166666666667	16.8639240506329	0.88947269656596	-10	"D"
"351"	"351"	"STROME"	" RYAN"	"NY Islanders"	"F(C)"	71	950.6	39	44	2.462	2.777	46.99	502	508	7.7689	91.3386	99.1075	947	939	59.773	59.268	50.21	4.1183	95.3142	99.4325	5	16	10	21	15	112	185	4.46428571429	2.7027027027	0.3156	1.0099	0.6312	1.3255	0.9468	7.0692	11.6768	12.82	41.03	53.85	38.46	NA	" RYAN STROME"	0.0446428571428571	0.0220913107511046	45.2666666666667	13.3887323943662	1.56848306332842	-5	"F(C)"
