"Rank"	"LastName"	"FirstName"	"Team"	"Pos"	"GP"	"TOI"	"GF"	"GA"	"GF60"	"GA60"	"GF."	"SF"	"SA"	"Sh."	"Sv."	"PDO"	"CF"	"CA"	"CF60"	"CA60"	"CF."	"CSh."	"CSv."	"CPDO"	"G"	"A"	"FirstA"	"Pts"	"Pri..Pts"	"Shots"	"iCorsi"	"iSh."	"iCSh."	"Goals.per60"	"Assists.per60"	"FirstA.per60"	"Points.per60"	"Pri.Pts..per60"	"Shots.per60"	"iCorsi.per60"	"IGP"	"IAP"	"IPP"	"IPPP"	"X"	"FirstLast"	"Gratio"	"PtoT"	"AvgPtTime"	"TimePerGame"	"PtsPerGame"	"PlusMin"	"Position"
"22"	"22"	"SAAD"	" BRANDON"	"Columbus"	"F(LW)"	78	1052.7	50	39	2.85	2.223	56.18	534	518	9.3633	92.471	101.8343	995	1005	56.711	57.281	49.75	5.0251	96.1194	101.1445	19	17	9	36	28	173	297	10.9826589595	6.39730639731	1.0829	0.9689	0.513	2.0519	1.5959	9.8604	16.9279	38	34	72	56	NA	" BRANDON SAAD"	0.109826589595376	0.0341977771444856	29.2416666666667	13.4961538461538	2.66742661726988	11	"F(LW)"
"23"	"23"	"SMITH"	" CRAIG"	"Nashville"	"F(C)"	82	1029.35	50	40	2.914	2.332	55.56	571	469	8.7566	91.4712	100.2278	1078	826	62.836	48.147	56.62	4.6382	95.1574	99.7956	19	13	12	32	31	168	290	11.3095238095	6.55172413793	1.1075	0.7578	0.6995	1.8653	1.807	9.7926	16.9039	38	26	64	62	NA	" CRAIG SMITH"	0.113095238095238	0.0310875795404867	32.1671875	12.5530487804878	2.54918152231991	10	"F(C)"
"24"	"24"	"SCHEIFELE"	" MARK"	"Winnipeg"	"F(C)"	71	1027.77	57	39	3.328	2.277	59.38	555	480	10.2703	91.875	102.1453	1051	896	61.356	52.308	53.98	5.4234	95.6473	101.0707	18	25	17	43	35	139	234	12.9496402878	7.69230769231	1.0508	1.4595	0.9924	2.5103	2.0433	8.1147	13.6607	31.58	43.86	75.44	61.4	NA	" MARK SCHEIFELE"	0.129496402877698	0.0418381544508986	23.9016279069767	14.4756338028169	2.9705089660138	18	"F(C)"
"25"	"25"	"ZUCCARELLO"	" MATS"	"NY Rangers"	"F(C)"	81	1203.15	55	45	2.743	2.244	55	558	586	9.8566	92.3208	102.1774	1068	1152	53.26	57.449	48.11	5.1498	96.0938	101.2436	18	20	15	38	33	116	209	15.5172413793	8.61244019139	0.8976	0.9974	0.748	1.895	1.6457	5.7848	10.4226	32.73	36.36	69.09	60	NA	" MATS ZUCCARELLO"	0.155172413793103	0.0315837592985081	31.6618421052632	14.8537037037037	2.55828450317915	10	"F(C)"
"26"	"26"	"CROSBY"	" SIDNEY"	"Pittsburgh"	"F(C)"	80	1209.78	62	44	3.075	2.182	58.49	698	578	8.8825	92.3875	101.27	1289	1081	63.929	53.613	54.39	4.8099	95.9297	100.7396	18	33	21	51	39	158	297	11.3924050633	6.06060606061	0.8927	1.6367	1.0415	2.5294	1.9342	7.8361	14.7299	29.03	53.23	82.26	62.9	NA	" SIDNEY CROSBY"	0.113924050632911	0.0421564251351485	23.7211764705882	15.12225	3.37251401081188	18	"F(C)"
"27"	"27"	"BERGERON"	" PATRICE"	"Boston"	"F(C)"	80	1081.32	47	37	2.608	2.053	55.95	651	497	7.2197	92.5553	99.775	1144	901	63.478	49.995	55.94	4.1084	95.8934	100.0018	18	15	5	33	23	189	298	9.52380952381	6.04026845638	0.9988	0.8323	0.2774	1.8311	1.2762	10.4872	16.5354	38.3	31.91	70.21	48.94	NA	" PATRICE BERGERON"	0.0952380952380952	0.0305182554655421	32.7672727272727	13.5165	2.44146043724337	10	"F(C)"
"28"	"28"	"LARKIN"	" DYLAN"	"Detroit"	"F(C)"	80	1074.13	47	36	2.625	2.011	56.63	543	562	8.6556	93.5943	102.2499	1006	932	56.194	52.061	51.91	4.672	96.1373	100.8093	18	18	12	36	30	170	302	10.5882352941	5.96026490066	1.0055	1.0055	0.6703	2.0109	1.6758	9.496	16.8694	38.3	38.3	76.6	63.83	NA	" DYLAN LARKIN"	0.105882352941176	0.0335154962620912	29.8369444444445	13.426625	2.68123970096729	11	"F(C)"
"29"	"29"	"HALL"	" TAYLOR"	"Edmonton"	"F(LW)"	82	1247.45	57	53	2.742	2.549	51.82	664	615	8.5843	91.3821	99.9664	1225	1146	58.92	55.12	51.67	4.6531	95.3752	100.0283	18	30	24	48	42	214	355	8.41121495327	5.07042253521	0.8658	1.4429	1.1544	2.3087	2.0201	10.293	17.0748	31.58	52.63	84.21	73.68	NA	" TAYLOR HALL"	0.0841121495327103	0.0384784961321095	25.9885416666667	15.2128048780488	3.15523668283298	4	"F(LW)"
"30"	"30"	"PANARIN"	" ARTEMI"	"Chicago"	"F(C)"	80	1180.2	54	51	2.745	2.593	51.43	587	581	9.1993	91.222	100.4213	1124	1046	57.143	53.177	51.8	4.8043	95.1243	99.9286	18	23	11	41	29	144	253	12.5	7.11462450593	0.9151	1.1693	0.5592	2.0844	1.4743	7.3208	12.8622	33.33	42.59	75.93	53.7	NA	" ARTEMI PANARIN"	0.125	0.0347398745975258	28.7853658536585	14.7525	2.77918996780207	3	"F(C)"
"31"	"31"	"HANSEN"	" JANNIK"	"Vancouver"	"F(RW)"	67	890.417	45	28	3.032	1.887	61.64	404	443	11.1386	93.6795	104.8181	716	784	48.247	52.829	47.73	6.2849	96.4286	102.7135	18	15	11	33	29	95	151	18.9473684211	11.9205298013	1.2129	1.0108	0.7412	2.2237	1.9541	6.4015	10.175	40	33.33	73.33	64.44	NA	" JANNIK HANSEN"	0.189473684210526	0.0370612870149604	26.9823333333333	13.2898059701493	2.48310623000235	17	"F(RW)"
